AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/17 11:19:53 219,M_1-PreAMP-S_2-D_1_50 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/17 11:20:34 638,194.800,-22.080,237966930,194800347,407846955,24.233, 8.590, 8.527, 0.000, 0.000,-45.549,23.541 

2020/02/17 11:20:35 625,194.800,-21.980,246827417,194800357,407720346,24.236, 8.693, 8.663, 0.000, 0.000,-45.491,23.507 

2020/02/17 11:20:36 609,194.800,-21.981,229106504,194800366,406327919,24.314, 8.623, 8.526, 0.000, 0.000,-45.492,23.507 

2020/02/17 11:20:37 574,194.800,-21.903,243030088,194800358,407467076,24.371, 8.644, 8.574, 0.000, 0.000,-45.489,23.462 

2020/02/17 11:20:38 579,194.800,-21.996,232903894,194800386,406834352,24.264, 8.654, 8.590, 0.000, 0.000,-45.557,23.558 

2020/02/17 11:20:39 562,194.800,-21.928,227840648,194800339,411644466,24.657, 8.331, 8.273, 0.000, 0.000,-45.463,23.531 

2020/02/17 11:20:40 547,194.800,-21.990,235435459,194800389,407720611,24.285, 8.644, 8.557, 0.000, 0.000,-45.491,23.498 

2020/02/17 11:20:41 531,194.800,-21.929,227840618,194800320,411897630,24.655, 8.322, 8.284, 0.000, 0.000,-45.541,23.526 

2020/02/17 11:20:42 514,194.800,-22.007,243030056,194800351,407214124,24.198, 8.716, 8.634, 0.000, 0.000,-45.467,23.456 

2020/02/17 11:20:43 500,194.800,-22.004,234169631,194800372,408100172,24.356, 8.561, 8.459, 0.000, 0.000,-45.536,23.529 

2020/02/17 11:20:44 462,194.800,-22.007,245561651,194800361,406960696,24.211, 8.706, 8.660, 0.000, 0.000,-45.491,23.516 

2020/02/17 11:20:45 470,194.800,-22.079,231638037,194800357,406201310,24.142, 8.713, 8.654, 0.000, 0.000,-45.502,23.419 

2020/02/17 11:20:46 453,194.800,-22.000,226574911,194800355,407973563,24.370, 8.566, 8.486, 0.000, 0.000,-45.473,23.470 

2020/02/17 11:20:47 438,194.800,-22.061,245561619,194800349,406707638,24.153, 8.698, 8.651, 0.000, 0.000,-45.478,23.542 

2020/02/17 11:20:48 421,194.800,-21.934,224043347,194800355,406074808,24.342, 8.648, 8.575, 0.000, 0.000,-45.478,23.565 

2020/02/17 11:20:49 406,194.800,-22.091,236701164,194800352,408226780,24.246, 8.602, 8.549, 0.000, 0.000,-45.490,23.396 

2020/02/17 11:20:50 391,194.800,-21.997,244295885,194800367,408859876,24.371, 8.563, 8.511, 0.000, 0.000,-45.463,23.462 

2020/02/17 11:20:51 360,194.800,-21.947,236701133,194800345,407593738,24.340, 8.636, 8.586, 0.000, 0.000,-45.546,23.556 

2020/02/17 11:20:52 360,194.800,-21.910,246827449,194800367,405568427,24.217, 8.839, 8.740, 0.000, 0.000,-45.483,23.570 

2020/02/17 11:20:53 345,194.800,-21.899,225309144,194800363,406327972,24.392, 8.649, 8.590, 0.000, 0.000,-45.473,23.571 

2020/02/17 11:20:54 317,194.800,-21.979,248093214,194800362,406581083,24.249, 8.717, 8.632, 0.000, 0.000,-45.487,23.407 

2020/02/17 11:20:55 313,194.800,-21.915,226574911,194800354,406327972,24.392, 8.605, 8.540, 0.000, 0.000,-45.536,23.460 

2020/02/17 11:20:56 297,194.800,-21.996,231638037,194800356,407467235,24.254, 8.674, 8.551, 0.000, 0.000,-45.481,23.482 

2020/02/17 11:20:57 283,194.800,-21.914,245561651,194800364,407847167,24.422, 8.579, 8.520, 0.000, 0.000,-45.481,23.563 

2020/02/17 11:20:58 262,194.800,-22.063,232903804,194800345,408353176,24.265, 8.611, 8.517, 0.000, 0.000,-45.555,23.560 

