AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:45:01 868,M_1-PreAMP-S_3-2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:45:01 868,194.804,-23.798,182149172,194802065,316583424,15.905, 5.999, 5.933, 0.000, 0.000,-47.239,23.412 

2020/02/12 20:45:02 907,194.803,-23.801,181896011,194802058,315570721,15.780, 6.119, 6.058, 0.000, 0.000,-47.239,23.421 

2020/02/12 20:45:03 912,194.804,-23.798,181263050,194802032,315697242,15.730, 6.176, 6.113, 0.000, 0.000,-47.240,23.414 

2020/02/12 20:45:04 898,194.803,-23.797,182528925,194802071,316963151,15.913, 5.988, 5.932, 0.000, 0.000,-47.237,23.411 

2020/02/12 20:45:05 880,194.805,-23.808,182022580,194802055,315190952,15.724, 6.170, 6.108, 0.000, 0.000,-47.232,23.399 

2020/02/12 20:45:06 865,194.802,-23.791,182149124,194802036,315317432,15.717, 6.194, 6.134, 0.000, 0.000,-47.240,23.420 

2020/02/12 20:45:07 852,194.802,-23.809,182528806,194802003,315823763,15.859, 6.032, 5.972, 0.000, 0.000,-47.233,23.395 

2020/02/12 20:45:08 812,194.802,-23.811,181769395,194802045,314937746,15.689, 6.202, 6.142, 0.000, 0.000,-47.237,23.417 

2020/02/12 20:45:09 818,194.804,-23.798,182275669,194802019,316836507,15.825, 6.079, 6.018, 0.000, 0.000,-47.232,23.404 

2020/02/12 20:45:10 803,194.804,-23.795,183541544,194802060,317469400,15.945, 5.963, 5.895, 0.000, 0.000,-47.238,23.414 

2020/02/12 20:45:11 766,194.804,-23.788,181516282,194802070,314051483,15.754, 6.158, 6.102, 0.000, 0.000,-47.229,23.382 

2020/02/12 20:45:12 773,194.804,-23.791,182655446,194802033,316076969,15.786, 6.122, 6.060, 0.000, 0.000,-47.237,23.417 

2020/02/12 20:45:13 756,194.803,-23.776,183035223,194802061,317216152,15.948, 5.976, 5.915, 0.000, 0.000,-47.237,23.432 

