AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 19:16:04 441,M_1-PreAMP-S_3-2-D_1_100 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 19:16:04 441,194.801,-20.596,183287716,194801709,292526393,10.241,14.379,15.025, 0.000, 0.000,-44.354,23.731 

2020/02/12 19:16:05 479,194.801,-20.596,183161053,194801657,293159121,10.301,14.327,14.968, 0.000, 0.000,-44.358,23.745 

2020/02/12 19:16:06 487,194.800,-20.595,183920580,194801689,294171837,10.317,14.307,14.954, 0.000, 0.000,-44.341,23.719 

2020/02/12 19:16:07 469,194.801,-20.592,182654805,194801701,291893398,10.200,14.426,15.072, 0.000, 0.000,-44.355,23.737 

2020/02/12 19:16:08 441,194.802,-20.591,183414213,194801660,293918639,10.332,14.302,14.942, 0.000, 0.000,-44.354,23.737 

2020/02/12 19:16:09 440,194.802,-20.600,183794012,194801687,293412396,10.286,14.329,14.976, 0.000, 0.000,-44.354,23.727 

2020/02/12 19:16:10 424,194.801,-20.596,183034556,194801703,291260593,10.181,14.444,15.087, 0.000, 0.000,-44.355,23.733 

2020/02/12 19:16:11 384,194.801,-20.593,183920532,194801655,293665441,10.327,14.305,14.946, 0.000, 0.000,-44.355,23.734 

2020/02/12 19:16:12 393,194.800,-20.597,183667468,194801707,293412396,10.296,14.325,14.970, 0.000, 0.000,-44.355,23.731 

2020/02/12 19:16:13 376,194.801,-20.593,183540852,194801695,292906076,10.273,14.357,14.993, 0.000, 0.000,-44.344,23.724 

2020/02/12 19:16:14 342,194.801,-20.585,182654734,194801655,292273043,10.280,14.358,14.995, 0.000, 0.000,-44.366,23.744 

2020/02/12 19:16:15 346,194.802,-20.595,183667373,194801657,294171799,10.337,14.288,14.932, 0.000, 0.000,-44.359,23.738 

2020/02/12 19:16:16 329,194.801,-20.589,183540828,194801679,294424959,10.413,14.216,14.859, 0.000, 0.000,-44.358,23.742 

2020/02/12 19:16:17 308,194.800,-20.580,182907917,194801674,291640238,10.193,14.451,15.092, 0.000, 0.000,-44.355,23.734 

2020/02/12 19:16:18 298,194.802,-20.595,183920556,194801673,293918677,10.313,14.311,14.959, 0.000, 0.000,-44.356,23.733 

2020/02/12 19:16:19 284,194.801,-20.573,183540876,194801703,293032713,10.301,14.346,14.993, 0.000, 0.000,-44.354,23.754 

2020/02/12 19:16:20 266,194.802,-20.591,183034485,194801664,292019921,10.233,14.400,15.036, 0.000, 0.000,-44.360,23.752 

2020/02/12 19:16:21 251,194.801,-20.590,183793988,194801673,293918677,10.321,14.311,14.953, 0.000, 0.000,-44.370,23.752 

2020/02/12 19:16:22 233,194.802,-20.604,183034533,194801693,291766875,10.226,14.391,15.034, 0.000, 0.000,-44.354,23.722 

2020/02/12 19:16:23 221,194.802,-20.591,183161029,194801650,291386964,10.185,14.450,15.090, 0.000, 0.000,-44.359,23.741 

2020/02/12 19:16:24 205,194.802,-20.575,183540852,194801694,293539033,10.330,14.317,14.961, 0.000, 0.000,-44.355,23.744 

2020/02/12 19:16:25 190,194.800,-20.586,182781420,194801716,292526279,10.341,14.298,14.939, 0.000, 0.000,-44.352,23.740 

2020/02/12 19:16:26 172,194.802,-20.589,182275030,194801677,291640124,10.188,14.451,15.079, 0.000, 0.000,-44.362,23.747 

2020/02/12 19:16:27 142,194.801,-20.576,183667420,194801688,293412434,10.303,14.345,14.984, 0.000, 0.000,-44.353,23.736 

2020/02/12 19:16:28 140,194.802,-20.594,182781397,194801702,291133956,10.187,14.449,15.082, 0.000, 0.000,-44.345,23.724 

2020/02/12 19:16:29 126,194.802,-20.684,182021870,194801675,290754197,10.125,14.415,15.055, 0.000, 0.000,-44.359,23.648 

2020/02/12 19:16:30 872,194.801,-20.575,183794012,194801692,293792116,10.316,14.332,14.974, 0.000, 0.000,-44.348,23.743 

2020/02/12 19:16:31 963,194.800,-20.580,182781397,194801703,291513715,10.209,14.438,15.074, 0.000, 0.000,-44.344,23.737 

2020/02/12 19:16:32 778,194.801,-20.600,182401621,194801682,290627598,10.176,14.445,15.083, 0.000, 0.000,-44.361,23.734 

