AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 22:31:24 607,M_1-PreAMP-S_3-1-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 22:32:05 431,194.800,-25.455,231638850,194800700, 0.000,28.978,0,0.06073487, 0.000, 0.000,-46.650,21.190 

2020/02/13 22:32:06 268,194.800,-25.450,231638940,194800736, 0.000,29.002,0,0.01873557, 0.000, 0.000,-46.641,21.174 

2020/02/13 22:32:07 113,194.800,-25.548,251891492,194800721, 0.000,28.921,0,0.02979683, 0.000, 0.000,-46.646,21.093 

2020/02/13 22:32:07 997,194.800,-25.446,232904621,194800691, 0.000,29.010,0.09182286,0.01052576, 0.000, 0.000,-46.640,21.189 

2020/02/13 22:32:08 958,194.800,-25.549,229107308,194800706, 0.000,28.937,0.07750473,0.01747092, 0.000, 0.000,-46.641,21.194 

2020/02/13 22:32:09 964,194.800,-25.427,241765233,194800735, 0.000,29.040,0.05916203,-0.03163776, 0.000, 0.000,-46.644,21.212 

2020/02/13 22:32:10 949,194.800,-25.456,245562545,194800713, 0.000,29.000,0.09054180,0.04839497, 0.000, 0.000,-46.641,21.179 

2020/02/13 22:32:11 934,194.800,-25.437,232904681,194800711, 0.000,29.025,0.08592561,-0.01021793, 0.000, 0.000,-46.645,21.174 

2020/02/13 22:32:12 917,194.800,-25.464,237967858,194800729, 0.000,28.978,0.07691335,0.06291722, 0.000, 0.000,-46.651,21.111 

2020/02/13 22:32:13 905,194.800,-25.457,250625722,194800731, 0.000,29.010,0.06828723,0.02841590, 0.000, 0.000,-46.636,21.173 

2020/02/13 22:32:14 888,194.800,-25.451,234170453,194800710, 0.000,28.989,0,0.02945369, 0.000, 0.000,-46.633,21.176 

2020/02/13 22:32:15 849,194.800,-25.521,232904742,194800743, 0.000,28.944,0,-0.01637099, 0.000, 0.000,-46.653,21.196 

2020/02/13 22:32:16 857,194.800,-25.487,251891460,194800709, 0.000,28.981,0.08315738,0.01899441, 0.000, 0.000,-46.655,21.162 

2020/02/13 22:32:17 839,194.800,-25.449,231638880,194800706, 0.000,29.013,0.06980329,0.03336257, 0.000, 0.000,-46.635,21.180 

2020/02/13 22:32:18 824,194.800,-25.573,230373139,194800724, 0.000,28.901,0.07134605,0.00984789, 0.000, 0.000,-46.653,21.146 

2020/02/13 22:32:19 809,194.800,-25.561,248094117,194800717, 0.000,28.929,0.07887214,-0.00774292, 0.000, 0.000,-46.641,21.173 

2020/02/13 22:32:20 793,194.800,-25.436,243030940,194800708, 0.000,29.010,0.09480919,0.05635831, 0.000, 0.000,-46.638,21.196 

2020/02/13 22:32:21 777,194.800,-25.646,230373109,194800714, 0.000,28.839,0.05697085,-0.02321591, 0.000, 0.000,-46.657,21.005 

2020/02/13 22:32:22 751,194.800,-25.423,236702117,194800750, 0.000,29.038,0,0.03369036, 0.000, 0.000,-46.637,21.165 

2020/02/13 22:32:23 748,194.800,-25.432,250625657,194800703, 0.000,29.048,0.07418707,-0.00912726, 0.000, 0.000,-46.632,21.194 

2020/02/13 22:32:24 730,194.800,-25.447,229107337,194800719, 0.000,29.022,0.07153571,0.00150135, 0.000, 0.000,-46.651,21.198 

2020/02/13 22:32:25 705,194.800,-25.560,231638910,194800717, 0.000,28.908,0.09386949,0.04279247, 0.000, 0.000,-46.650,21.103 

2020/02/13 22:32:26 700,194.800,-25.470,251891460,194800710, 0.000,28.984,0.08438165,0.00886969, 0.000, 0.000,-46.648,21.172 

2020/02/13 22:32:27 684,194.800,-25.492,234170483,194800724, 0.000,28.964,0.07911266,0.01983152, 0.000, 0.000,-46.651,21.153 

2020/02/13 22:32:28 668,194.800,-25.439,234170513,194800734, 0.000,29.028,0.07486312,0.03306361, 0.000, 0.000,-46.642,21.197 

