AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:37:02 424,194.800,-25.748,235436499,194800820, 0.000,28.704,0.08313375,-0.02461414, 0.000, 0.000,-46.633,20.878 

2020/02/13 16:37:03 235,194.800,-25.498,227841862,194800853, 0.000,28.955,0.06623271,0.01225278, 0.000, 0.000,-46.623,21.142 

2020/02/13 16:37:04 107,194.800,-25.713,236702394,194800864, 0.000,28.732,0.08459292,0.01683477, 0.000, 0.000,-46.652,20.933 

2020/02/13 16:37:04 995,194.800,-25.653,243031319,194800855, 0.000,28.776,0,0.04397283, 0.000, 0.000,-46.634,20.975 

2020/02/13 16:37:05 959,194.800,-25.563,227841862,194800857, 0.000,28.891,0,0.01862553, 0.000, 0.000,-46.620,20.966 

2020/02/13 16:37:06 966,194.800,-25.471,243031319,194800855, 0.000,28.972,0.07831813,0.03579914, 0.000, 0.000,-46.617,21.139 

2020/02/13 16:37:07 949,194.800,-25.635,234170787,194800852, 0.000,28.835,0.06943228,-0.00787929, 0.000, 0.000,-46.615,20.974 

2020/02/13 16:37:08 934,194.800,-25.725,225310286,194800854, 0.000,28.750,0.06277208,-0.05925353, 0.000, 0.000,-46.632,20.870 

2020/02/13 16:37:09 917,194.800,-25.568,241765547,194800859, 0.000,28.847,0,0.04215751, 0.000, 0.000,-46.638,20.908 

2020/02/13 16:37:10 901,194.800,-25.736,237968136,194800841, 0.000,28.689,0,0.04466565, 0.000, 0.000,-46.650,20.908 

2020/02/13 16:37:11 887,194.800,-25.728,229107665,194800860, 0.000,28.717,0.09364167,0.01981704, 0.000, 0.000,-46.630,20.895 

2020/02/13 16:37:12 849,194.800,-25.546,246828636,194800839, 0.000,28.949,0.04784443,-0.02852026, 0.000, 0.000,-46.627,21.025 

