AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:52:40 253,M_1-PreAMP-S_3-2-D_1_125_6H 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:53:20 686,194.803,-23.965,182022556,194802041,322406942,16.110, 5.608, 5.550, 0.000, 0.000,-47.226,23.231 

2020/02/12 20:53:21 660,194.804,-23.876,182022650,194802093,321014550,16.111, 5.700, 5.635, 0.000, 0.000,-47.224,23.281 

2020/02/12 20:53:22 656,194.805,-23.926,181642874,194802074,320128281,15.941, 5.826, 5.762, 0.000, 0.000,-47.224,23.268 

2020/02/12 20:53:23 640,194.803,-23.952,182528854,194802036,321394069,16.021, 5.718, 5.657, 0.000, 0.000,-47.222,23.240 

2020/02/12 20:53:24 602,194.804,-23.948,182402380,194802088,322407026,16.125, 5.613, 5.551, 0.000, 0.000,-47.225,23.236 

2020/02/12 20:53:25 608,194.805,-23.957,181516329,194802097,320887862,15.975, 5.763, 5.697, 0.000, 0.000,-47.225,23.238 

2020/02/12 20:53:26 593,194.803,-23.960,181642874,194802074,320634738,15.972, 5.754, 5.701, 0.000, 0.000,-47.223,23.233 

2020/02/12 20:53:27 556,194.805,-23.929,182275717,194802045,321900442,16.044, 5.712, 5.649, 0.000, 0.000,-47.229,23.264 

2020/02/12 20:53:28 562,194.804,-23.965,183288359,194802047,323166314,16.158, 5.566, 5.508, 0.000, 0.000,-47.225,23.230 

2020/02/12 20:53:29 546,194.803,-23.946,182022674,194802107,322280338,16.109, 5.630, 5.576, 0.000, 0.000,-47.224,23.248 

2020/02/12 20:53:30 521,194.804,-23.850,182528854,194802033,321647277,16.095, 5.745, 5.689, 0.000, 0.000,-47.226,23.229 

2020/02/12 20:53:31 516,194.804,-23.947,183414928,194802039,322659940,16.147, 5.595, 5.530, 0.000, 0.000,-47.233,23.257 

2020/02/12 20:53:32 499,194.804,-23.931,182402404,194802104,321520840,16.077, 5.679, 5.622, 0.000, 0.000,-47.222,23.262 

2020/02/12 20:53:33 483,194.804,-23.939,182275693,194802030,323039752,16.085, 5.667, 5.608, 0.000, 0.000,-47.235,23.250 

2020/02/12 20:53:34 469,194.804,-23.961,183035246,194802071,322280296,16.114, 5.623, 5.566, 0.000, 0.000,-47.222,23.222 

2020/02/12 20:53:35 451,194.804,-23.950,182402404,194802100,320634696,16.023, 5.715, 5.654, 0.000, 0.000,-47.229,23.249 

2020/02/12 20:53:36 437,194.804,-23.856,182149124,194802042,323039794,16.178, 5.657, 5.591, 0.000, 0.000,-47.227,23.342 

2020/02/12 20:53:37 421,194.805,-23.953,183794753,194802085,323419564,16.178, 5.558, 5.498, 0.000, 0.000,-47.226,23.346 

2020/02/12 20:53:38 404,194.805,-23.972,182782109,194802080,320761300,16.004, 5.713, 5.652, 0.000, 0.000,-47.225,23.223 

2020/02/12 20:53:39 391,194.804,-23.959,181896011,194802065,321773880,15.988, 5.741, 5.679, 0.000, 0.000,-47.228,23.238 

2020/02/12 20:53:40 364,194.804,-23.968,183161791,194802052,323166356,16.160, 5.561, 5.497, 0.000, 0.000,-47.230,23.250 

2020/02/12 20:53:41 358,194.803,-23.937,182528972,194802095,321774048,16.114, 5.636, 5.587, 0.000, 0.000,-47.230,23.264 

2020/02/12 20:53:42 342,194.804,-23.953,181769466,194802084,320634738,15.974, 5.759, 5.703, 0.000, 0.000,-47.223,23.241 

2020/02/12 20:53:43 306,194.804,-23.961,183414928,194802041,321773797,16.069, 5.652, 5.602, 0.000, 0.000,-47.228,23.329 

2020/02/12 20:53:44 311,194.803,-23.948,183288431,194802088,321520756,16.087, 5.657, 5.592, 0.000, 0.000,-47.226,23.248 

2020/02/12 20:53:45 297,194.804,-23.962,183161862,194802086,321773964,16.105, 5.621, 5.565, 0.000, 0.000,-47.221,23.229 

2020/02/12 20:53:46 259,194.803,-23.954,181642850,194802066,319368659,15.933, 5.806, 5.744, 0.000, 0.000,-47.227,23.265 

2020/02/12 20:53:47 266,194.803,-23.937,182149101,194802026,320001553,15.957, 5.796, 5.729, 0.000, 0.000,-47.230,23.263 

2020/02/12 20:53:48 249,194.803,-23.941,182908630,194802050,321900359,16.094, 5.654, 5.593, 0.000, 0.000,-47.225,23.254 

2020/02/12 20:53:49 223,194.804,-23.968,181642827,194802050,319115493,15.881, 5.840, 5.777, 0.000, 0.000,-47.231,23.242 

2020/02/12 20:53:50 219,194.802,-23.867,182275717,194802048,320381364,16.025, 5.793, 5.734, 0.000, 0.000,-47.222,23.325 

2020/02/12 20:53:51 202,194.805,-23.959,182908606,194802035,322026963,16.078, 5.647, 5.589, 0.000, 0.000,-47.223,23.233 

2020/02/12 20:53:52 186,194.804,-23.947,182528996,194802107,318862286,15.917, 5.820, 5.760, 0.000, 0.000,-47.226,23.227 

2020/02/12 20:53:53 174,194.803,-23.941,182402309,194802047,320128198,15.939, 5.807, 5.743, 0.000, 0.000,-47.231,23.259 

2020/02/12 20:53:54 155,194.805,-23.950,183288359,194802048,322026963,16.094, 5.642, 5.577, 0.000, 0.000,-47.223,23.243 

2020/02/12 20:53:55 140,194.804,-23.952,183035270,194802083,317090002,15.799, 5.936, 5.880, 0.000, 0.000,-47.225,23.243 

2020/02/12 20:53:56 126,194.803,-23.977,182402238,194802010,318988848,15.803, 5.903, 5.848, 0.000, 0.000,-47.231,23.239 

2020/02/12 20:53:57 108,194.803,-23.852,182655470,194802046,320001428,16.015, 5.820, 5.764, 0.000, 0.000,-47.224,23.343 

2020/02/12 20:53:58 923,194.803,-23.836,183161839,194802080,319621908,16.069, 5.785, 5.724, 0.000, 0.000,-47.226,23.361 

2020/02/12 20:53:59 687,194.804,-23.939,181769395,194802047,320254843,15.947, 5.800, 5.738, 0.000, 0.000,-47.231,23.253 

2020/02/12 20:54:00 614,194.803,-23.936,181769372,194802033,320887654,15.999, 5.753, 5.688, 0.000, 0.000,-47.224,23.258 

2020/02/12 20:54:01 467,194.804,-23.961,183668089,194802037,322026921,16.089, 5.635, 5.575, 0.000, 0.000,-47.224,23.233 

2020/02/12 20:54:02 873,194.804,-23.949,181389689,194802065,320128281,15.921, 5.818, 5.756, 0.000, 0.000,-47.223,23.237 

2020/02/12 20:54:03 150,194.804,-23.937,181769372,194802031,319874949,15.909, 5.841, 5.780, 0.000, 0.000,-47.224,23.258 

2020/02/12 20:54:03 998,194.801,-23.877,182528830,194802020,319621742,15.983, 5.828, 5.775, 0.000, 0.000,-47.225,23.319 

2020/02/12 20:54:04 962,194.803,-23.934,183288431,194802080,321900526,16.103, 5.653, 5.592, 0.000, 0.000,-47.222,23.258 

2020/02/12 20:54:05 969,194.804,-23.925,182022627,194802083,320634696,16.036, 5.730, 5.662, 0.000, 0.000,-47.223,23.269 

2020/02/12 20:54:06 953,194.802,-23.952,181642827,194802055,319875074,15.911, 5.833, 5.769, 0.000, 0.000,-47.220,23.238 

2020/02/12 20:54:07 926,194.802,-23.947,183161839,194802073,321394152,16.068, 5.678, 5.612, 0.000, 0.000,-47.221,23.250 

2020/02/12 20:54:08 922,194.804,-23.961,181896035,194802075,320634655,15.972, 5.754, 5.702, 0.000, 0.000,-47.219,23.228 

2020/02/12 20:54:09 905,194.804,-23.958,181642803,194802045,319748470,15.878, 5.851, 5.793, 0.000, 0.000,-47.225,23.237 

2020/02/12 20:54:10 888,194.806,-23.964,182275646,194802010,321394194,16.048, 5.671, 5.619, 0.000, 0.000,-47.221,23.247 

2020/02/12 20:54:11 875,194.803,-23.946,182149195,194802076,320254927,15.979, 5.762, 5.703, 0.000, 0.000,-47.227,23.239 

2020/02/12 20:54:12 857,194.804,-23.960,181516258,194802054,319621866,15.889, 5.838, 5.778, 0.000, 0.000,-47.227,23.237 

2020/02/12 20:54:13 843,194.804,-23.845,181516211,194802037,321140987,16.169, 5.673, 5.615, 0.000, 0.000,-47.222,23.348 

2020/02/12 20:54:14 828,194.803,-23.934,182022627,194802084,320001719,15.963, 5.786, 5.728, 0.000, 0.000,-47.226,23.355 

2020/02/12 20:54:15 810,194.803,-23.946,181769419,194802056,318862327,15.842, 5.891, 5.838, 0.000, 0.000,-47.223,23.246 

