AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/11 02:44:55 379,M_1-PreAMP-S_3-2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/11 02:44:55 379,194.801,-21.463,179997223,194802020,375818333,12.666, 7.329, 7.380, 0.000, 0.000,-42.093,20.575 

2019/10/11 02:44:56 418,194.801,-21.479,179870701,194802047,378476407,12.829, 7.145, 7.204, 0.000, 0.000,-42.088,20.554 

2019/10/11 02:44:57 430,194.801,-21.392,181010007,194802098,375691728,12.672, 7.396, 7.450, 0.000, 0.000,-42.076,20.629 

2019/10/11 02:44:58 414,194.801,-21.392,181010007,194802098,375691728,12.672, 7.396, 7.450, 0.000, 0.000,-42.109,20.578 

2019/10/11 02:44:59 401,194.801,-21.476,180883462,194802114,375312059,12.676, 7.305, 7.361, 0.000, 0.000,-42.109,20.578 

2019/10/11 02:45:00 381,194.801,-21.469,179617471,194802011,374299558,12.653, 7.338, 7.387, 0.000, 0.000,-42.099,20.575 

2019/10/11 02:45:01 367,194.801,-21.388,181769395,194802046,376451017,12.680, 7.392, 7.440, 0.000, 0.000,-42.081,20.638 

2019/10/11 02:45:02 323,194.801,-21.487,181389854,194802155,374805687,12.578, 7.396, 7.446, 0.000, 0.000,-42.087,20.545 

2019/10/11 02:45:03 336,194.801,-21.470,179617657,194802116,376071544,12.719, 7.266, 7.318, 0.000, 0.000,-42.093,20.568 

2019/10/11 02:45:04 321,194.801,-21.376,180250384,194802023,379362151,12.877, 7.203, 7.255, 0.000, 0.000,-42.075,20.646 

2019/10/11 02:45:05 304,194.801,-21.376,180250384,194802023,379362151,12.877, 7.203, 7.256, 0.000, 0.000,-42.079,20.561 

2019/10/11 02:45:06 289,194.801,-21.463,180883368,194802064,374299510,12.593, 7.405, 7.454, 0.000, 0.000,-42.079,20.561 

2019/10/11 02:45:07 274,194.801,-21.383,180756799,194802075,374046397,12.633, 7.442, 7.496, 0.000, 0.000,-42.074,20.637 

