AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/11/07 17:17:31 633,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/11/07 17:17:31 633,194.801,-21.682,180755860,194801563,425060826,11.962, 7.790, 7.827, 0.000, 0.000,-37.686,15.843 

2019/11/07 17:17:32 669,194.801,-21.589,181642024,194801621,423794845,12.010, 7.833, 7.876, 0.000, 0.000,-37.656,15.909 

2019/11/07 17:17:33 680,194.801,-21.565,180502817,194801623,429998373,12.121, 7.748, 7.789, 0.000, 0.000,-37.664,15.944 

2019/11/07 17:17:34 666,194.801,-21.565,180502817,194801623,429998373,12.121, 7.748, 7.789, 0.000, 0.000,-37.662,15.830 

2019/11/07 17:17:35 651,194.801,-21.672,180502677,194801551,431644188,12.063, 7.700, 7.737, 0.000, 0.000,-37.662,15.830 

2019/11/07 17:17:36 633,194.801,-21.662,180376062,194801534,430631254,12.054, 7.723, 7.759, 0.000, 0.000,-37.662,15.840 

2019/11/07 17:17:37 620,194.801,-21.651,181009160,194801638,422781974,11.953, 7.827, 7.866, 0.000, 0.000,-37.665,15.855 

2019/11/07 17:17:38 575,194.801,-21.379,180123207,194801701,431770742,12.244, 7.814, 7.850, 0.000, 0.000,-37.575,16.043 

2019/11/07 17:17:39 589,194.801,-21.656,180502771,194801601,432403736,12.093, 7.683, 7.723, 0.000, 0.000,-37.674,15.859 

2019/11/07 17:17:40 570,194.801,-21.656,180502771,194801601,432403736,12.093, 7.688, 7.723, 0.000, 0.000,-37.662,15.861 

2019/11/07 17:17:41 554,194.801,-21.642,179743292,194801603,423161800,11.969, 7.826, 7.861, 0.000, 0.000,-37.656,15.834 

2019/11/07 17:17:42 538,194.801,-21.662,180376132,194801572,431770686,12.061, 7.714, 7.751, 0.000, 0.000,-37.656,15.834 

2019/11/07 17:17:43 525,194.801,-21.639,180249728,194801664,429491878,12.062, 7.734, 7.769, 0.000, 0.000,-37.656,15.858 

2019/11/07 17:17:44 499,194.801,-21.644,180502817,194801623,437466784,12.133, 7.660, 7.698, 0.000, 0.000,-37.666,15.863 

2019/11/07 17:17:45 492,194.801,-21.538,180123019,194801600,432657012,12.153, 7.741, 7.782, 0.000, 0.000,-37.642,15.947 

2019/11/07 17:17:46 476,194.801,-21.638,180629432,194801644,429491822,12.057, 7.742, 7.779, 0.000, 0.000,-37.655,15.857 

2019/11/07 17:17:47 461,194.801,-21.638,180629432,194801644,429491822,12.057, 7.742, 7.779, 0.000, 0.000,-37.682,15.891 

2019/11/07 17:17:48 448,194.801,-21.633,180629339,194801593,437340003,12.139, 7.665, 7.701, 0.000, 0.000,-37.682,15.891 

2019/11/07 17:17:49 430,194.801,-21.557,179616724,194801606,435694525,12.144, 7.734, 7.773, 0.000, 0.000,-37.584,15.868 

2019/11/07 17:17:50 413,194.801,-21.644,181388746,194801562,432023625,12.089, 7.703, 7.739, 0.000, 0.000,-37.676,15.873 

2019/11/07 17:17:51 370,194.801,-21.652,181388817,194801595,432909951,12.090, 7.694, 7.738, 0.000, 0.000,-37.662,15.851 

2019/11/07 17:17:52 382,194.801,-21.651,181642048,194801635,428858941,12.036, 7.744, 7.782, 0.000, 0.000,-37.657,15.846 

2019/11/07 17:17:53 368,194.801,-21.626,179490156,194801613,421136223,11.960, 7.849, 7.887, 0.000, 0.000,-37.677,15.893 

2019/11/07 17:17:54 351,194.801,-21.626,179490156,194801613,421136223,11.960, 7.849, 7.887, 0.000, 0.000,-37.658,15.873 

2019/11/07 17:17:55 338,194.801,-21.626,180882451,194801565,425314044,12.016, 7.792, 7.827, 0.000, 0.000,-37.658,15.873 

2019/11/07 17:17:56 320,194.801,-21.623,180502771,194801597,434555317,12.123, 7.687, 7.724, 0.000, 0.000,-37.655,15.873 

2019/11/07 17:17:57 304,194.801,-21.642,181388864,194801622,429871595,12.061, 7.737, 7.765, 0.000, 0.000,-37.679,15.878 

2019/11/07 17:17:58 260,194.801,-21.622,180249751,194801680,431644076,12.104, 7.711, 7.747, 0.000, 0.000,-37.658,15.877 

2019/11/07 17:17:59 275,194.801,-21.628,180629315,194801585,429365324,12.072, 7.741, 7.775, 0.000, 0.000,-37.665,15.879 

2019/11/07 17:18:00 258,194.801,-21.558,181009066,194801592,426580137,12.071, 7.805, 7.846, 0.000, 0.000,-37.644,15.930 

2019/11/07 17:18:01 243,194.801,-21.558,181009066,194801592,426580137,12.071, 7.805, 7.843, 0.000, 0.000,-37.575,15.875 

2019/11/07 17:18:02 226,194.801,-21.541,180629268,194801556,429745041,12.089, 7.806, 7.843, 0.000, 0.000,-37.575,15.875 

2019/11/07 17:18:03 212,194.801,-21.626,180249658,194801626,427845954,12.033, 7.772, 7.810, 0.000, 0.000,-37.651,15.866 

2019/11/07 17:18:04 196,194.801,-21.422,179490296,194801693,438858871,12.313, 7.699, 7.738, 0.000, 0.000,-37.633,16.059 

2019/11/07 17:18:05 179,194.801,-21.619,180249611,194801602,429998205,12.089, 7.728, 7.766, 0.000, 0.000,-37.661,15.883 

2019/11/07 17:18:06 163,194.801,-21.553,180122902,194801530,435820626,12.195, 7.688, 7.725, 0.000, 0.000,-37.667,15.958 

2019/11/07 17:18:07 150,194.801,-21.553,180122902,194801530,435820626,12.195, 7.688, 7.725, 0.000, 0.000,-37.660,15.877 

2019/11/07 17:18:08 134,194.801,-21.624,180249658,194801628,428225782,12.055, 7.750, 7.799, 0.000, 0.000,-37.626,15.842 

2019/11/07 17:18:09 117,194.801,-21.563,180376320,194801677,443542424,12.202, 7.670, 7.708, 0.000, 0.000,-37.587,15.865 

2019/11/07 17:18:10 102,194.801,-21.622,181641977,194801595,429998317,12.075, 7.734, 7.775, 0.000, 0.000,-37.671,15.891 

2019/11/07 17:18:11 589,194.801,-21.616,180249775,194801687,432150516,12.120, 7.695, 7.737, 0.000, 0.000,-37.666,15.891 

2019/11/07 17:18:12 728,194.801,-21.644,181135681,194801611,427213018,12.028, 7.766, 7.800, 0.000, 0.000,-37.659,15.856 

2019/11/07 17:18:13 577,194.801,-21.617,179869907,194801618,429238547,12.069, 7.754, 7.790, 0.000, 0.000,-37.678,15.904 

2019/11/07 17:18:14 393,194.801,-21.617,179869907,194801618,429238547,12.069, 7.754, 7.790, 0.000, 0.000,-37.674,15.892 

2019/11/07 17:18:15 226,194.801,-21.624,180629503,194801679,431011027,12.093, 7.719, 7.754, 0.000, 0.000,-37.674,15.892 

2019/11/07 17:18:16 910,194.801,-21.540,180123090,194801632,435821022,12.199, 7.695, 7.734, 0.000, 0.000,-37.647,15.951 

2019/11/07 17:18:16 991,194.801,-21.621,179363494,194801566,430884529,12.093, 7.722, 7.761, 0.000, 0.000,-37.668,15.889 

2019/11/07 17:18:17 948,194.801,-21.640,179996451,194801605,427972507,12.041, 7.748, 7.792, 0.000, 0.000,-37.658,15.859 

2019/11/07 17:18:18 963,194.801,-21.614,180249681,194801640,428985384,12.077, 7.746, 7.786, 0.000, 0.000,-37.663,15.891 

2019/11/07 17:18:19 944,194.801,-21.625,179996568,194801669,429365212,12.068, 7.744, 7.784, 0.000, 0.000,-37.678,15.895 

2019/11/07 17:18:20 929,194.801,-21.625,179996568,194801669,429365212,12.068, 7.744, 7.783, 0.000, 0.000,-37.659,15.885 

2019/11/07 17:18:21 913,194.801,-21.615,179363727,194801697,427213018,12.048, 7.772, 7.811, 0.000, 0.000,-37.659,15.885 

2019/11/07 17:18:22 900,194.801,-21.615,180249634,194801613,431770686,12.115, 7.704, 7.742, 0.000, 0.000,-37.665,15.892 

2019/11/07 17:18:23 885,194.801,-21.526,180249681,194801641,437086442,12.206, 7.707, 7.736, 0.000, 0.000,-37.638,15.955 

2019/11/07 17:18:24 863,194.801,-21.617,180502771,194801602,433415771,12.117, 7.700, 7.739, 0.000, 0.000,-37.678,15.903 

2019/11/07 17:18:25 852,194.801,-21.598,180882522,194801607,426073589,12.043, 7.797, 7.831, 0.000, 0.000,-37.671,15.916 

2019/11/07 17:18:26 836,194.801,-21.598,180882522,194801607,426073589,12.043, 7.797, 7.831, 0.000, 0.000,-37.656,15.897 

2019/11/07 17:18:27 822,194.801,-21.601,180123207,194801694,427466292,12.064, 7.768, 7.807, 0.000, 0.000,-37.657,15.896 

2019/11/07 17:18:28 804,194.801,-21.603,179616770,194801629,428985384,12.086, 7.749, 7.786, 0.000, 0.000,-37.666,15.905 

2019/11/07 17:18:29 787,194.801,-21.692,180376202,194801610,425060826,11.962, 7.783, 7.817, 0.000, 0.000,-37.666,15.813 

2019/11/07 17:18:30 747,194.801,-21.626,180502771,194801597,425440598,12.009, 7.802, 7.837, 0.000, 0.000,-37.678,15.894 

2019/11/07 17:18:31 758,194.801,-21.528,180123183,194801680,426959799,12.105, 7.804, 7.840, 0.000, 0.000,-37.642,15.958 

2019/11/07 17:18:32 742,194.801,-21.516,179490342,194801716,427212962,12.128, 7.792, 7.835, 0.000, 0.000,-37.652,15.981 

2019/11/07 17:18:33 727,194.801,-21.516,179490342,194801716,427212962,12.128, 7.792, 7.835, 0.000, 0.000,-37.688,15.926 

2019/11/07 17:18:34 713,194.801,-21.605,180249681,194801638,424427780,12.024, 7.803, 7.844, 0.000, 0.000,-37.688,15.926 

2019/11/07 17:18:35 694,194.801,-21.692,181768497,194801562,427212907,11.994, 7.753, 7.789, 0.000, 0.000,-37.685,15.833 

2019/11/07 17:18:36 682,194.801,-21.674,181135634,194801583,426453306,12.001, 7.765, 7.803, 0.000, 0.000,-37.686,15.853 

2019/11/07 17:18:37 635,194.801,-21.596,181135752,194801645,429871651,12.094, 7.748, 7.783, 0.000, 0.000,-37.658,15.904 

2019/11/07 17:18:38 648,194.801,-21.682,179996522,194801638,430378034,12.019, 7.738, 7.769, 0.000, 0.000,-37.674,15.832 

2019/11/07 17:18:39 631,194.801,-21.596,179490156,194801612,429238547,12.108, 7.734, 7.770, 0.000, 0.000,-37.663,15.910 

2019/11/07 17:18:40 619,194.801,-21.596,179490156,194801612,429238547,12.108, 7.734, 7.770, 0.000, 0.000,-37.667,15.899 

2019/11/07 17:18:41 601,194.801,-21.610,180502677,194801553,431263910,12.110, 7.715, 7.757, 0.000, 0.000,-37.667,15.899 

2019/11/07 17:18:42 586,194.801,-21.606,180755954,194801613,435314639,12.132, 7.697, 7.730, 0.000, 0.000,-37.653,15.889 

2019/11/07 17:18:43 571,194.801,-21.594,180376226,194801620,429745041,12.103, 7.745, 7.776, 0.000, 0.000,-37.661,15.909 

2019/11/07 17:18:44 541,194.801,-21.656,180755954,194801613,436327463,12.107, 7.675, 7.710, 0.000, 0.000,-37.675,15.860 

2019/11/07 17:18:45 538,194.801,-21.492,179743385,194801651,430251368,12.144, 7.801, 7.839, 0.000, 0.000,-37.578,15.930 

2019/11/07 17:18:46 523,194.801,-21.492,179743385,194801651,430251368,12.144, 7.801, 7.839, 0.000, 0.000,-37.673,15.909 

2019/11/07 17:18:47 506,194.801,-21.607,179996522,194801646,426706636,12.053, 7.781, 7.820, 0.000, 0.000,-37.648,15.982 

2019/11/07 17:18:48 493,194.801,-21.511,180376226,194801617,433795601,12.200, 7.729, 7.770, 0.000, 0.000,-37.648,15.982 

2019/11/07 17:18:49 475,194.801,-21.597,181262296,194801631,423921399,12.008, 7.837, 7.872, 0.000, 0.000,-37.662,15.908 

2019/11/07 17:18:50 447,194.801,-21.672,181009066,194801595,423794790,11.951, 7.818, 7.853, 0.000, 0.000,-37.675,15.843 

2019/11/07 17:18:51 445,194.801,-21.410,179616864,194801685,431770349,12.228, 7.800, 7.842, 0.000, 0.000,-37.575,16.011 

2019/11/07 17:18:52 429,194.801,-21.593,180376249,194801635,423668181,12.007, 7.834, 7.877, 0.000, 0.000,-37.663,15.913 

2019/11/07 17:18:53 414,194.801,-21.593,180376249,194801635,423668181,12.007, 7.834, 7.877, 0.000, 0.000,-37.665,15.835 

2019/11/07 17:18:54 400,194.801,-21.670,181262249,194801605,422655420,11.937, 7.831, 7.872, 0.000, 0.000,-37.665,15.835 

2019/11/07 17:18:55 381,194.801,-21.673,180755907,194801592,427213018,11.983, 7.778, 7.821, 0.000, 0.000,-37.653,15.819 

2019/11/07 17:18:56 369,194.801,-21.581,179616724,194801606,424427891,12.026, 7.832, 7.869, 0.000, 0.000,-37.671,15.933 

