AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/11/07 23:12:34 881,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/11/07 23:12:34 881,194.801,-21.260,180502489,194801449,399867331,11.835, 8.343, 8.379, 0.000, 0.000,-37.798,16.396 

2019/11/07 23:12:35 124,194.801,-21.236,182147775,194801318,397335517,11.763, 8.437, 8.473, 0.000, 0.000,-37.776,16.399 

2019/11/07 23:12:36 134,194.801,-21.134,181641670,194801429,397462123,11.788, 8.514, 8.554, 0.000, 0.000,-37.718,16.445 

2019/11/07 23:12:37 118,194.801,-21.134,181641670,194801429,397462123,11.788, 8.514, 8.554, 0.000, 0.000,-37.712,16.318 

2019/11/07 23:12:38 104,194.801,-21.250,180375898,194801440,402399147,11.871, 8.314, 8.355, 0.000, 0.000,-37.712,16.318 

2019/11/07 23:12:39 884,194.801,-21.156,181641623,194801405,397208962,11.777, 8.505, 8.544, 0.000, 0.000,-37.720,16.424 

2019/11/07 23:12:40 756,194.801,-21.338,180882098,194801378,401386451,11.823, 8.275, 8.316, 0.000, 0.000,-37.790,16.308 

2019/11/07 23:12:41 282,194.801,-21.150,182147988,194801429,398348263,11.831, 8.452, 8.497, 0.000, 0.000,-37.721,16.432 

2019/11/07 23:12:42 421,194.801,-21.243,180882193,194801434,400120439,11.833, 8.355, 8.395, 0.000, 0.000,-37.743,16.357 

2019/11/07 23:12:43 256,194.801,-21.253,181008666,194801374,399360957,11.781, 8.398, 8.440, 0.000, 0.000,-37.715,16.319 

2019/11/07 23:12:44 127,194.801,-21.253,181008666,194801374,399360957,11.781, 8.398, 8.440, 0.000, 0.000,-37.721,16.346 

2019/11/07 23:12:44 993,194.801,-21.233,180882240,194801453,397968444,11.748, 8.453, 8.495, 0.000, 0.000,-37.721,16.346 

2019/11/07 23:12:45 978,194.801,-21.356,180502419,194801413,404045034,11.873, 8.209, 8.249, 0.000, 0.000,-37.801,16.301 

