AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/11/08 05:07:36 868,M_1-PreAMP-S_3-2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/11/08 05:07:36 868,194.801,-21.403,178857431,194801711,382525946,13.020, 6.964, 7.010, 0.000, 0.000,-42.051,20.594 

2019/11/08 05:07:37 905,194.801,-21.403,178224520,194801703,380753524,12.938, 7.049, 7.093, 0.000, 0.000,-42.054,20.597 

2019/11/08 05:07:38 917,194.801,-21.398,178730886,194801725,382019575,12.965, 7.031, 7.077, 0.000, 0.000,-42.045,20.593 

2019/11/08 05:07:39 903,194.801,-21.398,178730886,194801725,382019575,12.965, 7.031, 7.077, 0.000, 0.000,-42.063,20.598 

2019/11/08 05:07:40 884,194.801,-21.411,180376460,194801743,382019575,12.969, 7.013, 7.061, 0.000, 0.000,-42.063,20.598 

2019/11/08 05:07:41 868,194.801,-21.397,178730816,194801692,380880129,12.945, 7.051, 7.097, 0.000, 0.000,-42.052,20.602 

2019/11/08 05:07:42 853,194.801,-21.383,179110730,194801787,381133438,12.935, 7.073, 7.117, 0.000, 0.000,-42.050,20.612 

2019/11/08 05:07:43 810,194.801,-21.389,178604225,194801683,381892970,13.011, 6.995, 7.034, 0.000, 0.000,-42.059,20.616 

2019/11/08 05:07:44 824,194.801,-21.397,179363751,194801713,380880228,12.905, 7.088, 7.135, 0.000, 0.000,-42.046,20.594 

2019/11/08 05:07:45 809,194.801,-21.398,179870164,194801757,381893020,12.965, 7.028, 7.074, 0.000, 0.000,-42.052,20.600 

2019/11/08 05:07:46 791,194.801,-21.398,179870164,194801757,381893020,12.965, 7.028, 7.072, 0.000, 0.000,-42.055,20.612 

2019/11/08 05:07:47 774,194.801,-21.389,178477726,194801732,379107906,12.829, 7.172, 7.218, 0.000, 0.000,-42.055,20.612 

2019/11/08 05:07:48 761,194.801,-21.389,178983999,194801704,382652452,13.038, 6.965, 7.007, 0.000, 0.000,-42.043,20.599 

2019/11/08 05:07:49 745,194.801,-21.406,180123277,194801740,381766414,12.955, 7.030, 7.080, 0.000, 0.000,-42.048,20.587 

