AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/29 22:20:15 626,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/29 22:20:58 393,194.801,-20.573,178603760,194801436,371259495,13.343,13.342,13.319, 0.000, 0.000,-42.365,21.863 

2019/10/29 22:20:59 203,194.801,-20.461,179110009,194801392,366575387,13.040,13.769,13.744, 0.000, 0.000,-42.365,21.863 

2019/10/29 22:20:59 421,194.801,-20.469,179616304,194801381,367967934,13.149,13.638,13.622, 0.000, 0.000,-42.374,21.863 

2019/10/29 22:21:00 988,194.801,-20.396,180755507,194801372,367081850,13.068,13.801,13.784, 0.000, 0.000,-42.355,21.918 

2019/10/29 22:21:01 944,194.801,-20.468,179236647,194801424,370499966,13.256,13.535,13.525, 0.000, 0.000,-42.376,21.867 

2019/10/29 22:21:02 959,194.801,-20.394,179742941,194801409,368094633,13.158,13.716,13.695, 0.000, 0.000,-42.374,21.940 

2019/10/29 22:21:03 942,194.801,-20.498,180249236,194801404,368474397,13.098,13.657,13.645, 0.000, 0.000,-42.421,21.882 

2019/10/29 22:21:04 926,194.801,-20.498,180249236,194801404,368474397,13.098,13.657,13.645, 0.000, 0.000,-42.340,21.895 

2019/10/29 22:21:05 910,194.801,-20.404,180882146,194801406,369613833,13.161,13.701,13.682, 0.000, 0.000,-42.340,21.895 

2019/10/29 22:21:06 895,194.801,-20.400,179110125,194801456,369993598,13.273,13.593,13.573, 0.000, 0.000,-42.370,21.930 

2019/10/29 22:21:07 879,194.801,-20.378,179616304,194801384,368347793,13.207,13.683,13.655, 0.000, 0.000,-42.363,21.945 

2019/10/29 22:21:08 843,194.801,-20.396,179616304,194801379,367335010,13.125,13.742,13.727, 0.000, 0.000,-42.356,21.919 

2019/10/29 22:21:09 851,194.801,-20.501,179616420,194801446,368600953,13.121,13.644,13.613, 0.000, 0.000,-42.362,21.819 

2019/10/29 22:21:10 832,194.801,-20.501,179616420,194801446,368600953,13.121,13.642,13.613, 0.000, 0.000,-42.377,21.948 

2019/10/29 22:21:11 817,194.801,-20.389,178856920,194801432,368980813,13.210,13.665,13.647, 0.000, 0.000,-42.369,21.918 

2019/10/29 22:21:12 804,194.801,-20.411,178350555,194801402,366701943,13.121,13.735,13.716, 0.000, 0.000,-42.369,21.918 

