AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/09 08:18:43 250,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/09 08:19:25 662,194.801,-21.120,180250056,194801844,380754217,13.712,12.768,12.755, 0.000, 0.000,-41.732,20.485 

2019/10/09 08:19:26 644,194.801,-21.191,178984209,194801814,385817989,13.958,12.445,12.425, 0.000, 0.000,-41.735,20.555 

2019/10/09 08:19:27 628,194.801,-21.126,180376460,194801753,384298871,13.902,12.578,12.556, 0.000, 0.000,-41.748,20.568 

2019/10/09 08:19:28 614,194.801,-21.103,179743666,194801808,383792449,13.870,12.631,12.622, 0.000, 0.000,-41.628,20.469 

2019/10/09 08:19:29 573,194.801,-21.036,179364007,194801849,383919004,14.010,12.553,12.531, 0.000, 0.000,-41.645,20.553 

2019/10/09 08:19:30 582,194.801,-21.104,181009419,194801779,382273282,13.856,12.645,12.625, 0.000, 0.000,-41.662,20.503 

2019/10/09 08:19:31 566,194.801,-21.098,178857524,194801759,384298771,13.938,12.565,12.552, 0.000, 0.000,-41.638,20.484 

2019/10/09 08:19:32 552,194.801,-21.098,178857524,194801759,384298771,13.938,12.565,12.552, 0.000, 0.000,-41.662,20.516 

2019/10/09 08:19:33 534,194.801,-21.091,180882780,194801749,381007378,13.787,12.731,12.709, 0.000, 0.000,-41.662,20.516 

2019/10/09 08:19:34 519,194.801,-21.101,180123441,194801824,383159421,13.814,12.687,12.671, 0.000, 0.000,-41.622,20.464 

2019/10/09 08:19:35 505,194.801,-21.106,180756353,194801830,384045660,13.900,12.600,12.581, 0.000, 0.000,-41.639,20.478 

2019/10/09 08:19:36 460,194.801,-21.103,180250009,194801816,382653049,13.881,12.617,12.601, 0.000, 0.000,-41.658,20.500 

2019/10/09 08:19:37 472,194.801,-21.098,179617050,194801783,381893417,13.828,12.677,12.657, 0.000, 0.000,-41.650,20.496 

2019/10/09 08:19:38 458,194.801,-21.182,180503029,194801743,384298871,13.844,12.576,12.556, 0.000, 0.000,-41.724,20.486 

2019/10/09 08:19:39 443,194.801,-21.182,180503029,194801743,384298871,13.844,12.576,12.556, 0.000, 0.000,-41.623,20.478 

2019/10/09 08:19:40 424,194.801,-21.088,180629785,194801833,383665843,13.890,12.625,12.608, 0.000, 0.000,-41.623,20.478 

2019/10/09 08:19:41 410,194.801,-21.108,179237415,194801842,380501056,13.718,12.767,12.757, 0.000, 0.000,-41.637,20.473 

2019/10/09 08:19:42 394,194.801,-21.100,179490505,194801804,382779704,13.907,12.594,12.578, 0.000, 0.000,-41.650,20.494 

2019/10/09 08:19:43 357,194.801,-21.099,179996849,194801820,382526493,13.891,12.614,12.595, 0.000, 0.000,-41.657,20.503 

2019/10/09 08:19:44 363,194.801,-21.202,181135964,194801756,381766910,13.768,12.633,12.609, 0.000, 0.000,-41.748,20.490 

2019/10/09 08:19:45 350,194.801,-21.202,181135964,194801756,381766910,13.768,12.633,12.609, 0.000, 0.000,-41.716,20.460 

2019/10/09 08:19:46 331,194.801,-21.200,180503099,194801782,384298871,13.812,12.591,12.566, 0.000, 0.000,-41.634,20.484 

2019/10/09 08:19:47 315,194.801,-21.094,179996849,194801820,380754167,13.726,12.781,12.762, 0.000, 0.000,-41.634,20.484 

2019/10/09 08:19:48 299,194.801,-21.100,180882921,194801824,383539237,13.895,12.607,12.592, 0.000, 0.000,-41.641,20.485 

2019/10/09 08:19:49 272,194.801,-21.089,180250009,194801816,382020121,13.779,12.739,12.713, 0.000, 0.000,-41.653,20.509 

2019/10/09 08:19:50 270,194.801,-21.171,179110707,194801775,383919004,13.920,12.498,12.486, 0.000, 0.000,-41.733,20.507 

2019/10/09 08:19:51 254,194.801,-21.091,179617004,194801759,381640355,13.763,12.742,12.731, 0.000, 0.000,-41.620,20.473 

2019/10/09 08:19:52 239,194.801,-21.091,179617004,194801759,381640355,13.763,12.742,12.731, 0.000, 0.000,-41.642,20.513 

2019/10/09 08:19:53 225,194.801,-21.074,179237369,194801820,382653049,13.858,12.669,12.652, 0.000, 0.000,-41.642,20.513 

2019/10/09 08:19:54 207,194.801,-21.090,179743736,194801837,382399788,13.871,12.644,12.622, 0.000, 0.000,-41.659,20.513 

2019/10/09 08:19:55 193,194.801,-21.084,179490482,194801793,382273282,13.925,12.588,12.572, 0.000, 0.000,-41.665,20.526 

2019/10/09 08:19:56 147,194.801,-21.075,178857501,194801748,382399788,13.894,12.638,12.616, 0.000, 0.000,-41.660,20.529 

2019/10/09 08:19:57 161,194.801,-21.080,179490435,194801763,381640256,13.791,12.737,12.720, 0.000, 0.000,-41.646,20.511 

2019/10/09 08:19:58 146,194.801,-21.086,180503146,194801804,381513749,13.738,12.783,12.761, 0.000, 0.000,-41.651,20.510 

2019/10/09 08:19:59 127,194.801,-21.086,180503146,194801804,381513749,13.738,12.783,12.761, 0.000, 0.000,-41.665,20.523 

2019/10/09 08:20:00 113,194.801,-21.087,179237462,194801872,376956997,13.551,12.953,12.959, 0.000, 0.000,-41.665,20.523 

2019/10/09 08:20:01 977,194.801,-21.082,179996826,194801808,381513700,13.780,12.741,12.727, 0.000, 0.000,-41.668,20.531 

2019/10/09 08:20:02 829,194.801,-21.179,181135940,194801750,382146677,13.782,12.635,12.614, 0.000, 0.000,-41.756,20.521 

2019/10/09 08:20:03 390,194.801,-21.161,179490412,194801754,382526493,13.786,12.648,12.632, 0.000, 0.000,-41.719,20.502 

2019/10/09 08:20:04 533,194.801,-21.167,180503146,194801806,383032865,13.830,12.600,12.580, 0.000, 0.000,-41.754,20.532 

2019/10/09 08:20:05 344,194.801,-21.076,180123417,194801807,381766861,13.862,12.663,12.639, 0.000, 0.000,-41.673,20.542 

2019/10/09 08:20:06 199,194.801,-21.076,180123417,194801807,381766861,13.862,12.663,12.652, 0.000, 0.000,-41.658,20.516 

2019/10/09 08:20:07 532,194.801,-21.087,179996802,194801795,381640305,13.765,12.752,12.736, 0.000, 0.000,-41.658,20.516 

