AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/11/14 04:54:26 376,M_1-PreAMP-S_3-2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/11/14 04:54:26 376,194.801,-21.372,177211143,194801300,381385806,13.136, 6.853, 6.899, 0.000, 0.000,-42.056,20.629 

2019/11/14 04:54:27 417,194.801,-21.386,179742521,194801184,371764704,12.605, 7.369, 7.417, 0.000, 0.000,-42.041,20.601 

2019/11/14 04:54:28 427,194.801,-21.374,179742614,194801236,370498762,12.544, 7.443, 7.485, 0.000, 0.000,-42.038,20.610 

2019/11/14 04:54:29 411,194.801,-21.374,179742614,194801236,370498762,12.544, 7.443, 7.485, 0.000, 0.000,-42.048,20.616 

2019/11/14 04:54:30 396,194.801,-21.377,179236344,194801256,370625366,12.575, 7.412, 7.450, 0.000, 0.000,-42.048,20.616 

2019/11/14 04:54:31 382,194.801,-21.277,179236274,194801222,371005129,12.663, 7.425, 7.466, 0.000, 0.000,-42.032,20.702 

2019/11/14 04:54:32 366,194.801,-21.375,181008243,194801146,369865744,12.552, 7.436, 7.482, 0.000, 0.000,-42.048,20.619 

2019/11/14 04:54:33 321,194.801,-21.390,180755249,194801234,371258385,12.555, 7.423, 7.465, 0.000, 0.000,-42.049,20.605 

2019/11/14 04:54:34 334,194.801,-21.372,176704941,194801363,381259300,13.142, 6.849, 6.889, 0.000, 0.000,-42.045,20.618 

2019/11/14 04:54:35 317,194.801,-21.366,177084622,194801335,380879337,13.158, 6.841, 6.882, 0.000, 0.000,-42.052,20.632 

2019/11/14 04:54:36 303,194.801,-21.366,177084622,194801335,380879337,13.158, 6.841, 6.882, 0.000, 0.000,-42.048,20.623 

2019/11/14 04:54:37 288,194.801,-21.371,179995703,194801200,369865744,12.560, 7.435, 7.474, 0.000, 0.000,-42.048,20.623 

2019/11/14 04:54:38 270,194.801,-21.378,180375382,194801166,372524328,12.610, 7.378, 7.417, 0.000, 0.000,-42.057,20.625 

2019/11/14 04:54:39 257,194.801,-21.360,180248885,194801210,371638197,12.605, 7.404, 7.441, 0.000, 0.000,-42.037,20.623 

