AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/23 17:28:50 895,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/23 17:28:50 895,194.801,-20.879,180503662,194802084,393665891,12.610,13.890,13.873, 0.000, 0.000,-37.327,16.304 

2019/10/23 17:28:51 937,194.801,-20.939,180756846,194802101,391513994,12.537,13.898,13.879, 0.000, 0.000,-37.435,16.354 

2019/10/23 17:28:52 948,194.801,-20.971,179744039,194802007,394425221,12.628,13.769,13.763, 0.000, 0.000,-37.423,16.308 

2019/10/23 17:28:53 933,194.801,-20.971,179744039,194802007,394425221,12.628,13.769,13.763, 0.000, 0.000,-37.428,16.279 

2019/10/23 17:28:54 919,194.801,-21.004,181009842,194802009,392400135,12.532,13.833,13.812, 0.000, 0.000,-37.428,16.279 

2019/10/23 17:28:55 901,194.801,-20.925,181516093,194801975,392653245,12.542,13.907,13.887, 0.000, 0.000,-37.344,16.274 

2019/10/23 17:28:56 884,194.801,-20.796,181516376,194802117,389742118,12.516,14.075,14.048, 0.000, 0.000,-37.312,16.374 

2019/10/23 17:28:57 840,194.801,-20.816,179744109,194802049,391514045,12.596,13.971,13.951, 0.000, 0.000,-37.334,16.375 

2019/10/23 17:28:58 856,194.801,-20.856,180883438,194802100,391260934,12.528,14.001,13.971, 0.000, 0.000,-37.316,16.316 

2019/10/23 17:28:59 837,194.801,-20.904,180376929,194802004,393033013,12.635,13.839,13.817, 0.000, 0.000,-37.423,16.377 

2019/10/23 17:29:00 821,194.801,-20.904,180376929,194802004,393033013,12.635,13.839,13.815, 0.000, 0.000,-37.324,16.395 

2019/10/23 17:29:01 807,194.801,-20.788,179364380,194802047,393159619,12.678,13.919,13.893, 0.000, 0.000,-37.324,16.395 

2019/10/23 17:29:02 792,194.801,-20.900,181262909,194801961,393159568,12.601,13.878,13.852, 0.000, 0.000,-37.352,16.308 

2019/10/23 17:29:03 776,194.801,-20.934,180376999,194802040,392526690,12.585,13.851,13.831, 0.000, 0.000,-37.420,16.344 

2019/10/23 17:29:04 760,194.801,-20.982,179997247,194802038,393285970,12.575,13.814,13.802, 0.000, 0.000,-37.414,16.288 

2019/10/23 17:29:05 745,194.801,-20.818,180377093,194802089,390501450,12.517,14.046,14.022, 0.000, 0.000,-37.331,16.371 

2019/10/23 17:29:06 731,194.801,-20.818,180377093,194802089,390501450,12.517,14.046,14.022, 0.000, 0.000,-37.413,16.373 

2019/10/23 17:29:07 716,194.801,-20.898,179997270,194802046,392906356,12.608,13.877,13.846, 0.000, 0.000,-37.410,16.370 

2019/10/23 17:29:08 698,194.801,-20.964,181136482,194802037,392020266,12.523,13.881,13.860, 0.000, 0.000,-37.429,16.321 

2019/10/23 17:29:09 684,194.801,-20.968,179617517,194802041,393665737,12.608,13.799,13.771, 0.000, 0.000,-37.435,16.323 

2019/10/23 17:29:10 639,194.801,-20.889,181009889,194802034,390374793,12.496,13.993,13.964, 0.000, 0.000,-37.417,16.386 

2019/10/23 17:29:11 649,194.801,-20.950,179617541,194802050,392526690,12.561,13.856,13.834, 0.000, 0.000,-37.426,16.333 

2019/10/23 17:29:12 636,194.801,-20.969,180503615,194802054,393539182,12.592,13.806,13.796, 0.000, 0.000,-37.438,16.326 

2019/10/23 17:29:13 618,194.801,-20.969,180503615,194802054,393539182,12.592,13.806,13.796, 0.000, 0.000,-37.329,16.373 

2019/10/23 17:29:14 604,194.801,-20.813,180883391,194802076,390248339,12.531,14.044,14.010, 0.000, 0.000,-37.329,16.373 

2019/10/23 17:29:15 590,194.801,-20.813,179744086,194802035,393159517,12.642,13.923,13.911, 0.000, 0.000,-37.330,16.375 

2019/10/23 17:29:16 575,194.801,-20.793,180377140,194802112,392020317,12.623,13.967,13.937, 0.000, 0.000,-37.327,16.393 

2019/10/23 17:29:17 528,194.801,-20.996,180756729,194802032,393412576,12.550,13.825,13.798, 0.000, 0.000,-37.404,16.263 

