AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/23 23:23:58 925,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/23 23:23:58 925,194.801,-20.586,180123605,194801909,391133972,12.563,14.151,14.137, 0.000, 0.000,-37.528,16.813 

2019/10/23 23:23:59 967,194.801,-20.594,179870281,194801823,401134385,12.922,13.798,13.772, 0.000, 0.000,-37.527,16.804 

2019/10/23 23:24:00 979,194.801,-20.592,180756564,194801946,389235289,12.433,14.277,14.269, 0.000, 0.000,-37.518,16.797 

2019/10/23 23:24:01 964,194.801,-20.592,180756564,194801946,389235289,12.433,14.277,14.269, 0.000, 0.000,-37.532,16.831 

2019/10/23 23:24:02 949,194.801,-20.573,179870421,194801900,389235441,12.486,14.245,14.227, 0.000, 0.000,-37.532,16.831 

2019/10/23 23:24:03 934,194.801,-20.589,181009607,194801881,390121480,12.511,14.200,14.190, 0.000, 0.000,-37.524,16.807 

2019/10/23 23:24:04 918,194.801,-20.498,180123511,194801865,390754358,12.552,14.268,14.249, 0.000, 0.000,-37.423,16.796 

2019/10/23 23:24:05 873,194.801,-20.598,180503263,194801872,387336807,12.374,14.334,14.318, 0.000, 0.000,-37.522,16.796 

2019/10/23 23:24:06 887,194.801,-20.566,180629855,194801875,391893405,12.596,14.138,14.135, 0.000, 0.000,-37.518,16.824 

2019/10/23 23:24:07 872,194.801,-20.591,180756494,194801904,389994925,12.502,14.208,14.200, 0.000, 0.000,-37.523,16.803 

2019/10/23 23:24:08 853,194.801,-20.591,180756494,194801904,389994925,12.502,14.208,14.200, 0.000, 0.000,-37.443,16.807 

2019/10/23 23:24:09 839,194.801,-20.508,180503263,194801869,391134074,12.566,14.238,14.220, 0.000, 0.000,-37.443,16.807 

2019/10/23 23:24:10 822,194.801,-20.568,181262838,194801920,387716473,12.389,14.350,14.325, 0.000, 0.000,-37.509,16.812 

2019/10/23 23:24:11 808,194.801,-20.580,181262744,194801866,389994823,12.510,14.217,14.205, 0.000, 0.000,-37.531,16.823 

2019/10/23 23:24:12 763,194.801,-20.584,180503287,194801877,390121429,12.516,14.209,14.190, 0.000, 0.000,-37.537,16.825 

2019/10/23 23:24:13 777,194.801,-20.588,179237532,194801905,391260680,12.535,14.184,14.172, 0.000, 0.000,-37.443,16.724 

2019/10/23 23:24:14 759,194.801,-20.670,181136199,194801886,389361895,12.410,14.219,14.215, 0.000, 0.000,-37.540,16.740 

